,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,airai,-8.9266,125.4092,71.31,93,99,1.36,TL,1615268589
1,carnarvon,-24.8667,113.6333,84.2,74,99,12.66,AU,1615268573
2,caravelas,-17.7125,-39.2481,74.84,88,89,3.91,BR,1615268685
3,komsomolskiy,40.4272,71.7189,51.8,54,89,2.3,UZ,1615268562
4,kirakira,-10.4544,161.9205,83.79,70,91,2.24,SB,1615268665
5,mahebourg,-20.4081,57.7,82.4,78,40,5.75,MU,1615268570
6,punta arenas,-53.15,-70.9167,53.6,76,40,11.5,CL,1615268564
7,cabo san lucas,22.8909,-109.9124,64.99,82,1,8.05,MX,1615268257
8,busselton,-33.65,115.3333,84.99,48,12,4.0,AU,1615268561
9,rikitea,-23.1203,-134.9692,80.82,80,19,7.02,PF,1615268578
10,kudahuvadhoo,2.6708,72.8944,83.86,71,84,7.49,MV,1615268686
11,roebourne,-20.7833,117.1333,94.35,40,0,13.62,AU,1615268567
12,hobart,-42.8794,147.3294,66.2,39,75,12.66,AU,1615268560
13,mataura,-46.1927,168.8643,64.99,60,92,7.0,NZ,1615268556
14,cockburn town,21.4612,-71.1419,74.3,79,84,24.09,TC,1615268555
15,anloga,5.7947,0.8973,82.4,83,40,6.91,GH,1615268686
16,luwuk,-0.9516,122.7875,77.88,79,100,4.9,ID,1615268687
17,atuona,-9.8,-139.0333,79.3,77,92,14.88,PF,1615268565
18,greystones,53.1408,-6.0631,45.0,88,97,3.0,IE,1615268687
19,severo-kurilsk,50.6789,156.125,24.78,91,99,14.29,RU,1615268654
20,kavieng,-2.5744,150.7967,83.57,75,60,11.07,PG,1615268560
21,galveston,29.3669,-94.9669,63.0,82,1,11.5,US,1615268687
22,marawi,7.9986,124.2928,84.0,77,58,5.99,PH,1615268688
23,kapaa,22.0752,-159.319,72.0,88,90,23.02,US,1615268605
24,dikson,73.5069,80.5464,-11.7,88,100,6.64,RU,1615268573
25,castro,-24.7911,-50.0119,59.61,93,1,2.37,BR,1615268478
26,hambantota,6.1241,81.1185,86.0,79,20,8.05,LK,1615268560
27,yellowknife,62.456,-114.3525,-6.0,77,75,6.91,CA,1615268566
28,kamaishi,39.2667,141.8833,46.4,46,0,6.91,JP,1615268688
29,yangcun,39.3639,117.0603,60.01,47,0,8.95,CN,1615268688
30,albany,42.6001,-73.9662,34.0,44,70,3.27,US,1615268404
31,port elizabeth,-33.918,25.5701,59.0,88,20,1.14,ZA,1615268346
32,thompson,55.7435,-97.8558,14.0,67,40,5.75,CA,1615268602
33,portland,45.5234,-122.6762,43.0,75,90,11.5,US,1615268633
34,shaowu,27.3409,117.4831,65.75,66,92,3.4,CN,1615268689
