,"ï»¿""Table 319.20. Degrees conferred by postsecondary institutions","bylevelofdegreeandstateorjurisdiction:2012-13through2014-15""",Unnamed:2,Unnamed:3,Unnamed:4,Unnamed:5,Unnamed:6,Unnamed:7,Unnamed:8,Unnamed:9,Unnamed:10,Unnamed:11,Unnamed:12,Unnamed:13
0,State or jurisdiction ,2012-13,,,,2013-14,,,,2014-15,,,,
1,,Asso- ciate's degrees,Bachelor's degrees,Master's degrees,Doctor's  de- grees\,Asso- ciate's degrees,Bachelor's degrees,Master's degrees,Doctor's  de- grees\,Asso- ciate's degrees,Bachelor's degrees,Master's degrees,Doctor's  de- grees\,
2,1,2,3,4,5,6,7,8,9,10,11,12,13,
3,   United States .............,"1,007,427","1,840,381","751,718","175,026","1,005,155","1,870,150","754,582","177,587","1,013,971","1,894,934","758,708","178,547",
4,Alabama ....................,"13,758","29,876","11,670","2,297","13,303","29,516","11,346","2,286","13,629","30,060","11,800","2,429",
5,Alaska .........................,"1,758","1,895",724,54,"1,805","2,033",707,60,"1,715","1,932",703,49,
6,Arizona .....................,"48,911","66,304","30,579","3,771","41,847","61,296","28,841","3,904","37,703","58,534","27,785","4,368",
7,Arkansas ..................,"8,499","14,317","5,225",980,"8,868","15,489","4,896",985,"9,095","15,881","4,899",971,
8,California .................,"120,550","180,529","69,257","18,761","129,962","199,274","74,541","18,319","133,533","201,116","74,626","18,307",
9,,,,,,,,,,,,,,
10,Colorado ....................,"15,550","32,446","15,009","2,747","14,177","33,412","14,935","2,917","13,992","33,626","14,685","2,840",
11,Connecticut ...............,"6,826","21,470","9,570","1,964","7,136","21,710","9,521","2,049","7,026","22,344","9,732","2,115",
12,Delaware ..................,"2,072","6,230","2,753",558,"2,080","6,338","2,842",554,"2,039","6,895","3,112",541,
13,District of Columbia ........,686,"9,299","10,995","3,621",766,"9,251","11,477","3,518",741,"9,272","11,439","3,384",
14,Florida .........................,"100,877","94,505","32,945","9,029","96,332","97,004","34,077","9,113","94,688","100,521","33,360","9,210",
15,,,,,,,,,,,,,,
16,Georgia ........................,"18,889","47,655","17,888","4,410","18,773","48,831","16,975","4,646","19,497","49,862","17,219","4,584",
17,Hawaii .....................,"4,402","6,363","1,978",556,"5,448","6,915","2,075",506,"4,429","6,966","1,856",624,
18,Idaho ........................,"5,762","10,336","2,049",398,"5,415","10,692","1,888",412,"5,152","10,886","1,957",387,
19,Illinois ........................,"40,584","75,992","43,254","8,598","40,516","74,958","41,647","8,446","40,187","74,317","40,080","8,757",
20,Indiana ....................,"18,838","46,551","14,663","3,475","17,775","46,927","14,357","3,537","17,243","48,082","14,099","3,648",
21,,,,,,,,,,,,,,
