Label,United_States_Total_Estimate,United_States_Male_Estimate,United_States_Female_Estimate
    Population 18 to 24 years,"30,373,170","15,556,254","14,816,916"
        Less than high school graduate,"3,662,080","2,126,765","1,535,315"
        High school graduate (includes equivalency),"9,921,331","5,613,801","4,307,530"
        Some college or associate's degree,"13,168,280","6,298,275","6,870,005"
        Bachelor's degree or higher,"3,621,479","1,517,413","2,104,066"
    Population 25 years and over,"224,898,568","108,711,092","116,187,476"
        Less than 9th grade,"10,874,685","5,401,669","5,473,016"
"        9th to 12th grade, no diploma","14,743,856","7,685,261","7,058,595"
        High school graduate (includes equivalency),"60,482,353","30,551,814","29,930,539"
"        Some college, no degree","44,914,086","21,578,525","23,335,561"
        Associate's degree,"19,381,937","8,391,409","10,990,528"
        Bachelor's degree,"45,730,479","21,645,659","24,084,820"
        Graduate or professional degree,"28,771,172","13,456,755","15,314,417"
