"Table 322.10. Bachelor's degrees conferred by postsecondary institutions, by field of study: Selected years, 1970-71 through 2017-18",,,,,,,,,,,,,,,,,,
Field of study,1970-71,1975-76,1980-81,1985-86,1990-91,1995-96,2000-01,2005-06,2007-08,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
   Total .....................................................................................,"839,730","925,746","935,140","987,823","1,094,538","1,164,792","1,244,171","1,485,104","1,563,734","1,649,919","1,716,053","1,792,163","1,840,381","1,870,150","1,894,969","1,920,750","1,956,114","1,980,644"
Agriculture and natural resources ..................,"12,672","19,402","21,886","16,823","13,124","21,425","23,370","23,052","24,125","26,343","28,630","30,972","33,592","35,125","36,278","36,995","37,734","39,314"
Architecture and related services .......................,"5,570","9,146","9,455","9,119","9,781","8,352","8,480","9,515","9,809","10,051","9,831","9,727","9,757","9,149","9,090","8,825","8,579","8,464"
"Area, ethnic, cultural, gender, and group studies ...................................","2,579","3,577","2,887","3,021","4,776","5,633","6,160","7,878","8,453","8,620","8,955","9,228","8,850","8,275","7,783","7,840","7,720","7,717"
Biological and biomedical sciences .......................................,"35,705","54,154","43,078","38,395","39,482","61,014","60,576","70,602","79,869","86,391","89,984","95,850","100,397","104,657","109,904","113,794","116,768","118,663"
Business ...........................................................,"115,396","143,171","200,521","236,700","249,165","226,623","263,515","318,043","335,495","358,119","365,133","367,235","360,887","358,132","363,741","371,690","381,109","386,201"
,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ..............................................","10,324","20,045","29,428","41,666","51,650","47,320","58,013","73,658","76,400","81,280","83,231","83,771","84,818","87,612","90,658","92,551","93,794","92,290"
Communications technologies ..........................,478,"1,237","1,854","1,479","1,397",853,"1,178","2,987","4,654","4,782","4,858","4,983","4,987","4,991","5,135","4,824","4,615","4,231"
Computer and information sciences ........................... ,"2,388","5,652","15,121","42,337","25,159","24,506","44,142","47,702","38,523","39,593","43,066","47,406","50,961","55,271","59,586","64,402","71,416","79,598"
Education ...............................................,"176,307","154,437","108,074","87,147","110,807","105,384","105,458","107,235","102,849","101,287","104,008","105,656","104,698","98,838","91,596","87,221","85,130","82,621"
Engineering ...........................................,"45,034","38,733","63,642","77,391","62,448","62,168","58,209","66,841","68,404","72,657","76,356","81,371","85,987","92,169","97,852","106,789","115,671","121,956"
,,,,,,,,,,,,,,,,,,
Engineering technologies ................................,"5,148","7,943","11,713","19,731","17,303","15,829","14,660","14,565","15,278","16,078","16,741","17,283","17,010","16,807","17,253","17,159","18,119","18,727"
English language and literature/letters .......................,"63,914","41,452","31,922","34,083","51,064","49,928","50,569","55,094","55,001","53,229","52,754","53,765","52,401","50,464","45,851","42,797","41,314","40,002"
Family and consumer sciences/human sciences ...........,"11,167","17,409","18,370","13,847","13,920","14,353","16,421","20,775","21,880","21,832","22,438","23,441","23,930","24,689","24,584","25,389","25,080","24,349"
