Label,United States!!Total!!Estimate,United States!!Percent!!Estimate,United States!!Male!!Estimate,United States!!Percent Male!!Estimate,United States!!Female!!Estimate,United States!!Percent Female!!Estimate
AGE BY EDUCATIONAL ATTAINMENT,,,,,,
    Population 18 to 24 years,"30,656,350",(X),"15,699,747",(X),"14,956,603",(X)
        Less than high school graduate,"3,839,148",12.50%,"2,235,271",14.20%,"1,603,877",10.70%
        High school graduate (includes equivalency),"9,816,791",32.00%,"5,482,696",34.90%,"4,334,095",29.00%
        Some college or associate's degree,"13,454,481",43.90%,"6,481,683",41.30%,"6,972,798",46.60%
        Bachelor's degree or higher,"3,545,930",11.60%,"1,500,097",9.60%,"2,045,833",13.70%
    Population 25 years and over,"223,158,847",(X),"107,879,122",(X),"115,279,725",(X)
        Less than 9th grade,"11,083,738",5.00%,"5,485,886",5.10%,"5,597,852",4.90%
"        9th to 12th grade, no diploma","14,960,425",6.70%,"7,817,988",7.20%,"7,142,437",6.20%
        High school graduate (includes equivalency),"59,961,893",26.90%,"30,176,064",28.00%,"29,785,829",25.80%
"        Some college, no degree","45,224,654",20.30%,"21,678,168",20.10%,"23,546,486",20.40%
        Associate's degree,"19,177,676",8.60%,"8,311,544",7.70%,"10,866,132",9.40%
        Bachelor's degree,"44,599,186",20.00%,"21,103,379",19.60%,"23,495,807",20.40%
        Graduate or professional degree,"28,151,275",12.60%,"13,306,093",12.30%,"14,845,182",12.90%
        High school graduate or higher,"197,114,684",88.30%,(X),87.70%,(X),88.90%
        Bachelor's degree or higher,"72,750,461",32.60%,(X),31.90%,(X),33.30%
    Population 25 to 34 years,"45,344,674",(X),"22,980,929",(X),"22,363,745",(X)
        High school graduate or higher,"41,457,855",91.40%,"20,729,639",90.20%,"20,728,216",92.70%
        Bachelor's degree or higher,"16,409,481",36.20%,"7,392,187",32.20%,"9,017,294",40.30%
    Population 35 to 44 years,"41,498,453",(X),"20,691,045",(X),"20,807,408",(X)
        High school graduate or higher,"36,832,678",88.80%,"18,096,485",87.50%,"18,736,193",90.00%
        Bachelor's degree or higher,"15,287,851",36.80%,"6,854,808",33.10%,"8,433,043",40.50%
    Population 45 to 64 years,"83,892,606",(X),"40,916,250",(X),"42,976,356",(X)
        High school graduate or higher,"74,195,537",88.40%,"35,768,755",87.40%,"38,426,782",89.40%
        Bachelor's degree or higher,"26,271,860",31.30%,"12,442,131",30.40%,"13,829,729",32.20%
    Population 65 years and over,"52,423,114",(X),"23,290,898",(X),"29,132,216",(X)
        High school graduate or higher,"44,628,614",85.10%,"19,980,369",85.80%,"24,648,245",84.60%
        Bachelor's degree or higher,"14,781,269",28.20%,"7,720,346",33.10%,"7,060,923",24.20%
RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,,,,,
    White alone,"166,573,830",(X),"81,102,954",(X),"85,470,876",(X)
        High school graduate or higher,"150,205,771",90.20%,"72,586,010",89.50%,"77,619,761",90.80%
        Bachelor's degree or higher,"56,522,697",33.90%,"27,181,510",33.50%,"29,341,187",34.30%
"    White alone, not Hispanic or Latino","143,952,616",(X),"69,932,638",(X),"74,019,978",(X)
        High school graduate or higher,"134,055,047",93.10%,"64,752,666",92.60%,"69,302,381",93.60%
